state_fips,industry_code,quarter_label,g_delta_loo
01,10,1992Q3,3.7609173447239744e-05
01,10,1992Q4,3.874884536988337e-05
01,10,1993Q1,3.4190157679308856e-05
01,10,1993Q2,3.2480649795343415e-05
01,10,1993Q3,3.9318681331205185e-05
01,10,1993Q4,3.7609173447239744e-05
01,10,1994Q1,3.134097787269979e-05
01,10,1994Q2,3.2480649795343415e-05
01,10,1994Q3,3.9318681331205185e-05
01,10,1994Q4,3.9318681331205185e-05
01,10,1995Q1,3.362032171798704e-05
01,10,1995Q2,4.216786113781426e-05
01,10,1995Q3,3.703933748591793e-05
01,10,1995Q4,4.1598025176492446e-05
01,10,1996Q1,3.4190157679308856e-05
01,10,1996Q2,3.703933748591793e-05
01,10,1996Q3,3.646950152459612e-05
01,10,1996Q4,3.9318681331205185e-05
01,10,1997Q1,3.646950152459612e-05
01,10,1997Q2,3.646950152459612e-05
01,10,1997Q3,4.045835325384881e-05
01,10,1997Q4,4.1028189215170625e-05
01,10,1998Q1,3.58996655632743e-05
01,10,1998Q2,3.7609173447239744e-05
01,10,1998Q3,3.19108138340216e-05
01,10,1998Q4,3.532982960195248e-05
01,10,1999Q1,3.532982960195248e-05
01,10,1999Q2,3.646950152459612e-05
01,10,1999Q3,3.7609173447239744e-05
01,10,1999Q4,3.305048575666523e-05
01,10,2000Q1,3.305048575666523e-05
01,10,2000Q2,3.134097787269979e-05
01,10,2000Q3,3.646950152459612e-05
01,10,2000Q4,3.362032171798704e-05
01,10,2001Q1,3.2480649795343415e-05
01,10,2001Q2,3.0771141911377974e-05
01,10,2001Q3,3.2480649795343415e-05
01,10,2001Q4,3.0771141911377974e-05
01,10,2012Q1,2.1653766530228943e-05
01,10,2012Q2,2.3363274414194387e-05
01,10,2012Q3,2.0514094607585313e-05
01,10,2012Q4,2.1653766530228943e-05
01,10,2013Q1,2.1653766530228943e-05
01,10,2013Q2,2.108393056890713e-05
01,10,2013Q3,1.99442586462635e-05
01,10,2013Q4,2.108393056890713e-05
01,10,2014Q1,1.9374422684941686e-05
01,10,2014Q2,2.108393056890713e-05
01,10,2014Q3,1.8804586723619872e-05
01,10,2014Q4,1.99442586462635e-05
01,10,2015Q1,1.99442586462635e-05
01,10,2015Q2,2.0514094607585313e-05
01,10,2015Q3,2.0514094607585313e-05
01,10,2015Q4,2.0514094607585313e-05
01,10,2016Q1,1.9374422684941686e-05
01,10,2016Q2,1.8804586723619872e-05
01,10,2016Q3,1.8804586723619872e-05
01,10,2016Q4,1.823475076229806e-05
01,10,2017Q1,1.9374422684941686e-05
01,10,2017Q2,2.108393056890713e-05
