state_fips,industry_code,quarter_label,g_s_loo
01,10,2001Q1,1.3676063071723543e-05
01,10,2001Q2,1.7095078839654428e-05
01,10,2001Q3,1.7095078839654428e-05
01,10,2001Q4,2.0514094607585313e-05
01,10,2002Q1,1.59554069170108e-05
01,10,2002Q2,1.7095078839654428e-05
01,10,2002Q3,1.8804586723619872e-05
01,10,2002Q4,1.19665551877581e-05
01,10,2003Q1,1.6525242878332614e-05
01,10,2003Q2,1.6525242878332614e-05
01,10,2003Q3,1.6525242878332614e-05
01,10,2003Q4,1.4245899033045357e-05
01,10,2004Q1,1.59554069170108e-05
01,10,2004Q2,1.310622711040173e-05
01,10,2004Q3,1.2536391149079914e-05
01,10,2004Q4,1.4245899033045357e-05
01,10,2005Q1,1.19665551877581e-05
01,10,2005Q2,1.1396719226436285e-05
01,10,2005Q3,1.3676063071723543e-05
01,10,2005Q4,1.310622711040173e-05
01,10,2006Q1,1.2536391149079914e-05
01,10,2006Q2,1.0257047303792656e-05
01,10,2006Q3,1.3676063071723543e-05
01,10,2006Q4,1.0257047303792656e-05
01,10,2007Q1,1.1396719226436285e-05
01,10,2007Q2,1.310622711040173e-05
01,10,2007Q3,1.6525242878332614e-05
01,10,2007Q4,1.5385570955688987e-05
01,10,2008Q1,1.823475076229806e-05
01,10,2008Q2,1.766491480097624e-05
01,10,2008Q3,1.59554069170108e-05
01,10,2008Q4,2.4502946336838015e-05
01,10,2009Q1,3.305048575666523e-05
01,10,2009Q2,3.2480649795343415e-05
01,10,2009Q3,2.6782290182125272e-05
01,10,2009Q4,2.279343845287257e-05
01,10,2010Q1,1.4245899033045357e-05
01,10,2010Q2,1.310622711040173e-05
01,10,2010Q3,1.3676063071723543e-05
01,10,2010Q4,1.5385570955688987e-05
01,10,2011Q1,7.9777034585054e-06
01,10,2011Q2,1.310622711040173e-05
01,10,2011Q3,1.310622711040173e-05
01,10,2011Q4,1.19665551877581e-05
01,10,2012Q1,1.9374422684941686e-05
01,10,2012Q2,2.3363274414194387e-05
01,10,2012Q3,2.0514094607585313e-05
01,10,2012Q4,2.2223602491550757e-05
01,10,2013Q1,1.99442586462635e-05
01,10,2013Q2,1.823475076229806e-05
01,10,2013Q3,2.3363274414194387e-05
01,10,2013Q4,2.279343845287257e-05
01,10,2014Q1,1.823475076229806e-05
01,10,2014Q2,1.99442586462635e-05
01,10,2014Q3,1.99442586462635e-05
01,10,2014Q4,2.39331103755162e-05
01,10,2015Q1,3.646950152459612e-05
01,10,2015Q2,3.19108138340216e-05
01,10,2015Q3,3.7609173447239744e-05
01,10,2015Q4,3.0771141911377974e-05
01,10,2016Q1,3.874884536988337e-05
01,10,2016Q2,2.6782290182125272e-05
01,10,2016Q3,1.99442586462635e-05
01,10,2016Q4,1.3676063071723543e-05
01,10,2017Q1,1.766491480097624e-05
01,10,2017Q2,1.99442586462635e-05
01,10,2017Q3,1.4815734994367172e-05
01,10,2017Q4,1.9374422684941686e-05
01,10,2018Q1,1.310622711040173e-05
01,10,2018Q2,2.0514094607585313e-05
01,10,2018Q3,2.39331103755162e-05
01,10,2018Q4,1.7095078839654428e-05
01,10,2019Q1,2.279343845287257e-05
01,10,2019Q2,1.823475076229806e-05
01,10,2019Q3,1.9374422684941686e-05
01,10,2019Q4,2.4502946336838015e-05
01,10,2020Q1,3.0201305950056157e-05
01,10,2020Q2,5.641376017085961e-05
01,10,2020Q3,1.9374422684941686e-05
01,10,2020Q4,1.4245899033045357e-05
01,10,2021Q1,1.310622711040173e-05
01,10,2021Q2,1.0257047303792656e-05
01,10,2021Q3,8.547539419827214e-06
01,10,2021Q4,8.547539419827214e-06
01,10,2022Q1,7.9777034585054e-06
01,10,2022Q2,6.8380315358617715e-06
01,10,2022Q3,9.11737538114903e-06
01,10,2022Q4,8.547539419827214e-06
01,10,2023Q1,1.2536391149079914e-05
01,10,2023Q2,1.310622711040173e-05
01,10,2023Q3,1.310622711040173e-05
01,10,2023Q4,1.0257047303792656e-05
01,10,2024Q1,1.1396719226436285e-05
01,10,2024Q2,1.1396719226436285e-05
01,20,2001Q1,0.00011604973132080638
01,20,2001Q2,0.00010067447889927097
01,20,2001Q3,9.746573056782011e-05
01,20,2001Q4,0.0001140442636136496
01,20,2002Q1,0.00010254624875928398
01,20,2002Q2,0.0001111029109764863
01,20,2002Q3,0.00011043442174076736
01,20,2002Q4,0.00010949853681076086
01,20,2003Q1,0.0001090974432693295
01,20,2003Q2,0.00011056811958791115
01,20,2003Q3,0.0001216650409008454
01,20,2003Q4,0.0001072256734093165
01,20,2004Q1,0.00011163770236506143
01,20,2004Q2,9.866901119211418e-05
01,20,2004Q3,9.813421980353904e-05
01,20,2004Q4,0.00010267994660642776
01,20,2005Q1,0.00010388322723072184
01,20,2005Q2,9.960489612212069e-05
01,20,2005Q3,9.626244994352604e-05
01,20,2005Q4,8.837427696204265e-05
01,20,2006Q1,9.292000376493137e-05
01,20,2006Q2,8.19567802991409e-05
01,20,2006Q3,9.55939607078071e-05
01,20,2006Q4,0.00010481911216072834
01,20,2007Q1,9.55939607078071e-05
01,20,2007Q2,0.00010214515521785261
01,20,2007Q3,0.00010241255091214019
01,20,2007Q4,9.773312626210768e-05
01,20,2008Q1,0.00010214515521785261
01,20,2008Q2,0.00011083551528219872
01,20,2008Q3,0.00010749306910360406
01,20,2008Q4,0.00013837727179381867
01,20,2009Q1,0.00014893940171817777
01,20,2009Q2,0.00013343045144949858
01,20,2009Q3,0.00012634446555087793
01,20,2009Q4,0.0001090974432693295
01,20,2010Q1,0.00010455171646644078
01,20,2010Q2,0.00010227885306499641
01,20,2010Q3,0.00010027338535783961
01,20,2010Q4,0.00010508650785501591
01,20,2011Q1,9.693093917924496e-05
01,20,2011Q2,0.0001140442636136496
01,20,2011Q3,9.987229181640826e-05
01,20,2011Q4,8.249157168771605e-05
01,20,2012Q1,9.17167231406373e-05
01,20,2012Q2,9.55939607078071e-05
01,20,2012Q3,0.00010548760139644728
01,20,2012Q4,8.59677157134545e-05
01,20,2013Q1,8.556662217202314e-05
01,20,2013Q2,8.235787384057227e-05
01,20,2013Q3,7.219683745764452e-05
01,20,2013Q4,8.556662217202314e-05
01,20,2014Q1,5.7757469966115614e-05
01,20,2014Q2,5.6687887188965327e-05
01,20,2014Q3,6.310538385186707e-05
